marksman	अंचकैं
At the end	अंत_में
finally	अंततः
eventually	अंततोगत्वा
last_dum_till	अंतिम_दम_तक
Inside	अंदर
guess	अंदाजन
guess	अंदाज़न
indiscriminate	अंधाधुंध
often	अकसर
all of a sudden	अकस्मात
suddenly	अकस्मात्
Causeless	अकारण
Lonely	अकेला
Lonely	अकेले
randomly	अक्रमतः
literally	अक्षरशः
often	अक्सर
Agatya	अगत्या
if	अगर
Side by side	अगल-बगल
side by side	अग़ल-बग़ल
secretly	अगुप्ततः
in advance	अग्रतः
forward	अग्रे
Ack	अचक
suddenly	अचांचक
suddenly	अचाक
achaka	अचाका
achan	अचान
suddenly	अचानक
achir	अचिर
Good	अच्छा
Properly	अच्छी_तरह
properly	अच्छी_तरह_से
azhun	अजहुँ
azhun	अजहूँ
ajo	अजो
ajaun	अजौं
eightfold	अठगुना
neighbourhood	अड़ोस-पड़ोस
Therefore	अतः
so	अतएव
atarson	अतरसों
Immediately	अतिशीघ्र
very quickly	अतिशीघ्रतः
in the past	अतीत_में
extremely	अत्यंत
Excessive	अत्यधिक
extremely	अत्यन्त
that	अथ
up to date	अद्य
half	अधः
more	अधिक
mostly	अधिकतः
mostly	अधिकतर
mostly	अधिकांशतः
mostly	अधिकांशतया
rightfully	अधिकारतः
rightfully	अधिकारपूर्वक
undeniably	अधिकारहीनतः
in subordination	अधीनता_में
Adhuna	अधुना
downwards	अधो_दिशा_में
underside	अधोरध
semi	अधोर्ध
semi-circular	अधौर्द्ध
presiding	अध्यक्षर
Anantar	अनंतर
almost	अनकरीब
unqarib	अनक़रीब
unwanted	अनचाहे
anat	अनत
authority	अनधिकार
infinity	अनन्तर
unsolicited	अनमाँगे
unmikh	अनमिख
period	अनवधि
relentlessly	अनवरत
unusually	अनसूयतः
unthinking	अनसोचे
unqualified	अनहक
Incidentally	अनागतः
spontaneously	अनायास
unworthy	अनाहक
unmistakable	अनिमिख
unintentional	अनिमित्त
blinking	अनिमिष
high pitched	अनिमेष
Anish	अनिश
Friendly	अनुकूल
monitoring	अनुक्षण
Today	अनुदिन
day	अनुदिवस
unprofessional	अनुपद
presumably	अनुमानतः
Anuvatsara	अनुवत्सर
According	अनुसार
many times	अनेकधा
many times	अनेकशः
Anera	अनेरा
like this	अनैसे
inside	अन्दर
guess	अन्दाजन
guess	अन्दाज़न
otherwise	अन्यतः
elsewhere	अन्यत्र
otherwise	अन्यदा
anas	अन्यास
